
NEW TRIAL
+----+-----------------------------+-----------+
|    | Function                    |   Time(s) |
| 37 | FedAVG with Participants=20 |   0.02172 |
| 38 | FedAVG with Participants=25 |   0.02825 |
+----+-----------------------------+-----------+

NEW TRIAL
+----+-----------------------------+-----------+
|    | Function                    |   Time(s) |
|----+-----------------------------+-----------|
|  0 | build_gru                   |   1.812   |
|  1 | build_lstm                  |   1.68    |
|  2 | data_processing_mdl_24      |   0.002   |
|  3 | training_LSTM_mdl_24        |  17.279   |
|  4 | training_GRU_mdl_24         |  11.4     |
|  5 | testing_LSTM_mdl_24         |   2.666   |
|  6 | testing_GRU_mdl_24          |   2.318   |
|  7 | data_processing_mdl_36      |   0.002   |
|  8 | training_LSTM_mdl_36        |  14.41    |
|  9 | training_GRU_mdl_36         |   3.674   |
| 10 | testing_LSTM_mdl_36         |   0.213   |
| 11 | testing_GRU_mdl_36          |   0.167   |
| 12 | data_processing_mdl_48      |   0.003   |
| 13 | training_LSTM_mdl_48        |  21.116   |
| 14 | training_GRU_mdl_48         |   5.246   |
| 15 | testing_LSTM_mdl_48         |   0.215   |
| 16 | testing_GRU_mdl_48          |   0.166   |
| 17 | data_processing_mdl_60      |   0.002   |
| 18 | training_LSTM_mdl_60        |  27.84    |
| 19 | training_GRU_mdl_60         |   6.796   |
| 20 | testing_LSTM_mdl_60         |   0.212   |
| 21 | testing_GRU_mdl_60          |   0.168   |
| 22 | data_processing_mdl_72      |   0.003   |
| 23 | training_LSTM_mdl_72        |  34.499   |
| 24 | training_GRU_mdl_72         |   8.491   |
| 25 | testing_LSTM_mdl_72         |   0.218   |
| 26 | testing_GRU_mdl_72          |   0.168   |
| 27 | FedAVG with Participants=2  |   0.00426 |
| 28 | FedAVG with Participants=3  |   0.00493 |
| 29 | FedAVG with Participants=4  |   0.00579 |
| 30 | FedAVG with Participants=5  |   0.00739 |
| 31 | FedAVG with Participants=6  |   0.00875 |
| 32 | FedAVG with Participants=7  |   0.01027 |
| 33 | FedAVG with Participants=8  |   0.00935 |
| 34 | FedAVG with Participants=9  |   0.01057 |
| 35 | FedAVG with Participants=10 |   0.0112  |
| 36 | FedAVG with Participants=15 |   0.01704 |
| 37 | FedAVG with Participants=20 |   0.02182 |
| 38 | FedAVG with Participants=25 |   0.02838 |
+----+-----------------------------+-----------+

NEW TRIAL
+----+-----------------------------+-----------+
|    | Function                    |   Time(s) |
|----+-----------------------------+-----------|
|  0 | build_gru                   |   1.798   |
|  1 | build_lstm                  |   1.657   |
|  2 | data_processing_mdl_24      |   0.002   |
|  3 | training_LSTM_mdl_24        |  17.199   |
|  4 | training_GRU_mdl_24         |  11.281   |
|  5 | testing_LSTM_mdl_24         |   2.634   |
|  6 | testing_GRU_mdl_24          |   2.286   |
|  7 | data_processing_mdl_36      |   0.002   |
|  8 | training_LSTM_mdl_36        |  14.391   |
|  9 | training_GRU_mdl_36         |   3.594   |
| 10 | testing_LSTM_mdl_36         |   0.205   |
| 11 | testing_GRU_mdl_36          |   0.164   |
| 12 | data_processing_mdl_48      |   0.002   |
| 13 | training_LSTM_mdl_48        |  21.061   |
| 14 | training_GRU_mdl_48         |   5.2     |
| 15 | testing_LSTM_mdl_48         |   0.209   |
| 16 | testing_GRU_mdl_48          |   0.164   |
| 17 | data_processing_mdl_60      |   0.002   |
| 18 | training_LSTM_mdl_60        |  27.864   |
| 19 | training_GRU_mdl_60         |   6.712   |
| 20 | testing_LSTM_mdl_60         |   0.206   |
| 21 | testing_GRU_mdl_60          |   0.166   |
| 22 | data_processing_mdl_72      |   0.002   |
| 23 | training_LSTM_mdl_72        |  34.615   |
| 24 | training_GRU_mdl_72         |   8.38    |
| 25 | testing_LSTM_mdl_72         |   0.214   |
| 26 | testing_GRU_mdl_72          |   0.166   |
| 27 | FedAVG with Participants=2  |   0.00428 |
| 28 | FedAVG with Participants=3  |   0.00496 |
| 29 | FedAVG with Participants=4  |   0.00573 |
| 30 | FedAVG with Participants=5  |   0.00728 |
| 31 | FedAVG with Participants=6  |   0.00876 |
| 32 | FedAVG with Participants=7  |   0.01018 |
| 33 | FedAVG with Participants=8  |   0.00921 |
| 34 | FedAVG with Participants=9  |   0.01046 |
| 35 | FedAVG with Participants=10 |   0.01115 |
| 36 | FedAVG with Participants=15 |   0.01694 |
| 37 | FedAVG with Participants=20 |   0.0216  |
| 38 | FedAVG with Participants=25 |   0.02805 |
+----+-----------------------------+-----------+

NEW TRIAL
+----+-----------------------------+-----------+
|    | Function                    |   Time(s) |
|----+-----------------------------+-----------|
|  0 | build_gru                   |   1.806   |
|  1 | build_lstm                  |   1.667   |
|  2 | data_processing_mdl_24      |   0.002   |
|  3 | training_LSTM_mdl_24        |  17.229   |
|  4 | training_GRU_mdl_24         |  11.341   |
|  5 | testing_LSTM_mdl_24         |   2.651   |
|  6 | testing_GRU_mdl_24          |   2.299   |
|  7 | data_processing_mdl_36      |   0.003   |
|  8 | training_LSTM_mdl_36        |  14.502   |
|  9 | training_GRU_mdl_36         |   3.668   |
| 10 | testing_LSTM_mdl_36         |   0.211   |
| 11 | testing_GRU_mdl_36          |   0.166   |
| 12 | data_processing_mdl_48      |   0.003   |
| 13 | training_LSTM_mdl_48        |  21.093   |
| 14 | training_GRU_mdl_48         |   5.196   |
| 15 | testing_LSTM_mdl_48         |   0.211   |
| 16 | testing_GRU_mdl_48          |   0.165   |
| 17 | data_processing_mdl_60      |   0.002   |
| 18 | training_LSTM_mdl_60        |  27.838   |
| 19 | training_GRU_mdl_60         |   6.812   |
| 20 | testing_LSTM_mdl_60         |   0.211   |
| 21 | testing_GRU_mdl_60          |   0.167   |
| 22 | data_processing_mdl_72      |   0.003   |
| 23 | training_LSTM_mdl_72        |  34.585   |
| 24 | training_GRU_mdl_72         |   8.365   |
| 25 | testing_LSTM_mdl_72         |   0.212   |
| 26 | testing_GRU_mdl_72          |   0.166   |
| 27 | FedAVG with Participants=2  |   0.00432 |
| 28 | FedAVG with Participants=3  |   0.00504 |
| 29 | FedAVG with Participants=4  |   0.00579 |
| 30 | FedAVG with Participants=5  |   0.00737 |
| 31 | FedAVG with Participants=6  |   0.00883 |
| 32 | FedAVG with Participants=7  |   0.01024 |
| 33 | FedAVG with Participants=8  |   0.00934 |
| 34 | FedAVG with Participants=9  |   0.0104  |
| 35 | FedAVG with Participants=10 |   0.0114  |
| 36 | FedAVG with Participants=15 |   0.0169  |
| 37 | FedAVG with Participants=20 |   0.02188 |
| 38 | FedAVG with Participants=25 |   0.02847 |
+----+-----------------------------+-----------+

NEW TRIAL
+----+-----------------------------+-----------+
|    | Function                    |   Time(s) |
|----+-----------------------------+-----------|
|  0 | build_gru                   |   1.808   |
|  1 | build_lstm                  |   1.674   |
|  2 | data_processing_mdl_24      |   0.002   |
|  3 | training_LSTM_mdl_24        |  17.315   |
|  4 | training_GRU_mdl_24         |  11.341   |
|  5 | testing_LSTM_mdl_24         |   2.649   |
|  6 | testing_GRU_mdl_24          |   2.298   |
|  7 | data_processing_mdl_36      |   0.003   |
|  8 | training_LSTM_mdl_36        |  14.535   |
|  9 | training_GRU_mdl_36         |   3.73    |
| 10 | testing_LSTM_mdl_36         |   0.211   |
| 11 | testing_GRU_mdl_36          |   0.165   |
| 12 | data_processing_mdl_48      |   0.002   |
| 13 | training_LSTM_mdl_48        |  21.321   |
| 14 | training_GRU_mdl_48         |   5.222   |
| 15 | testing_LSTM_mdl_48         |   0.21    |
| 16 | testing_GRU_mdl_48          |   0.164   |
| 17 | data_processing_mdl_60      |   0.003   |
| 18 | training_LSTM_mdl_60        |  28.18    |
| 19 | training_GRU_mdl_60         |   6.855   |
| 20 | testing_LSTM_mdl_60         |   0.21    |
| 21 | testing_GRU_mdl_60          |   0.168   |
| 22 | data_processing_mdl_72      |   0.003   |
| 23 | training_LSTM_mdl_72        |  34.933   |
| 24 | training_GRU_mdl_72         |   8.508   |
| 25 | testing_LSTM_mdl_72         |   0.22    |
| 26 | testing_GRU_mdl_72          |   0.168   |
| 27 | FedAVG with Participants=2  |   0.00432 |
| 28 | FedAVG with Participants=3  |   0.00494 |
| 29 | FedAVG with Participants=4  |   0.00581 |
| 30 | FedAVG with Participants=5  |   0.00736 |
| 31 | FedAVG with Participants=6  |   0.00872 |
| 32 | FedAVG with Participants=7  |   0.01013 |
| 33 | FedAVG with Participants=8  |   0.00919 |
| 34 | FedAVG with Participants=9  |   0.0104  |
| 35 | FedAVG with Participants=10 |   0.01107 |
| 36 | FedAVG with Participants=15 |   0.01675 |
| 37 | FedAVG with Participants=20 |   0.02163 |
| 38 | FedAVG with Participants=25 |   0.02831 |
+----+-----------------------------+-----------+

NEW TRIAL
+----+-----------------------------+-----------+
|    | Function                    |   Time(s) |
|----+-----------------------------+-----------|
|  0 | build_gru                   |   1.817   |
|  1 | build_lstm                  |   1.68    |
|  2 | data_processing_mdl_24      |   0.002   |
|  3 | training_LSTM_mdl_24        |  17.357   |
|  4 | training_GRU_mdl_24         |  11.416   |
|  5 | testing_LSTM_mdl_24         |   2.668   |
|  6 | testing_GRU_mdl_24          |   2.311   |
|  7 | data_processing_mdl_36      |   0.002   |
|  8 | training_LSTM_mdl_36        |  14.559   |
|  9 | training_GRU_mdl_36         |   3.727   |
| 10 | testing_LSTM_mdl_36         |   0.209   |
| 11 | testing_GRU_mdl_36          |   0.167   |
| 12 | data_processing_mdl_48      |   0.003   |
| 13 | training_LSTM_mdl_48        |  21.301   |
| 14 | training_GRU_mdl_48         |   5.269   |
| 15 | testing_LSTM_mdl_48         |   0.211   |
| 16 | testing_GRU_mdl_48          |   0.164   |
| 17 | data_processing_mdl_60      |   0.003   |
| 18 | training_LSTM_mdl_60        |  28.108   |
| 19 | training_GRU_mdl_60         |   6.861   |
| 20 | testing_LSTM_mdl_60         |   0.208   |
| 21 | testing_GRU_mdl_60          |   0.167   |
| 22 | data_processing_mdl_72      |   0.002   |
| 23 | training_LSTM_mdl_72        |  34.744   |
| 24 | training_GRU_mdl_72         |   8.486   |
| 25 | testing_LSTM_mdl_72         |   0.213   |
| 26 | testing_GRU_mdl_72          |   0.168   |
| 27 | FedAVG with Participants=2  |   0.00423 |
| 28 | FedAVG with Participants=3  |   0.00497 |
| 29 | FedAVG with Participants=4  |   0.00593 |
| 30 | FedAVG with Participants=5  |   0.00734 |
| 31 | FedAVG with Participants=6  |   0.00877 |
| 32 | FedAVG with Participants=7  |   0.01015 |
| 33 | FedAVG with Participants=8  |   0.00925 |
| 34 | FedAVG with Participants=9  |   0.01061 |
| 35 | FedAVG with Participants=10 |   0.0112  |
| 36 | FedAVG with Participants=15 |   0.01712 |
| 37 | FedAVG with Participants=20 |   0.02145 |
| 38 | FedAVG with Participants=25 |   0.02792 |
+----+-----------------------------+-----------+

NEW TRIAL
+----+-----------------------------+-----------+
|    | Function                    |   Time(s) |
|----+-----------------------------+-----------|
|  0 | build_gru                   |   1.811   |
|  1 | build_lstm                  |   1.673   |
|  2 | data_processing_mdl_24      |   0.002   |
|  3 | training_LSTM_mdl_24        |  17.47    |
|  4 | training_GRU_mdl_24         |  11.567   |
|  5 | testing_LSTM_mdl_24         |   2.672   |
|  6 | testing_GRU_mdl_24          |   2.322   |
|  7 | data_processing_mdl_36      |   0.002   |
|  8 | training_LSTM_mdl_36        |  14.54    |
|  9 | training_GRU_mdl_36         |   3.858   |
| 10 | testing_LSTM_mdl_36         |   0.213   |
| 11 | testing_GRU_mdl_36          |   0.168   |
| 12 | data_processing_mdl_48      |   0.002   |
| 13 | training_LSTM_mdl_48        |  21.33    |
| 14 | training_GRU_mdl_48         |   5.481   |
| 15 | testing_LSTM_mdl_48         |   0.214   |
| 16 | testing_GRU_mdl_48          |   0.166   |
| 17 | data_processing_mdl_60      |   0.003   |
| 18 | training_LSTM_mdl_60        |  28.271   |
| 19 | training_GRU_mdl_60         |   7.171   |
| 20 | testing_LSTM_mdl_60         |   0.214   |
| 21 | testing_GRU_mdl_60          |   0.169   |
| 22 | data_processing_mdl_72      |   0.003   |
| 23 | training_LSTM_mdl_72        |  34.849   |
| 24 | training_GRU_mdl_72         |   8.866   |
| 25 | testing_LSTM_mdl_72         |   0.218   |
| 26 | testing_GRU_mdl_72          |   0.17    |
| 27 | FedAVG with Participants=2  |   0.00423 |
| 28 | FedAVG with Participants=3  |   0.00491 |
| 29 | FedAVG with Participants=4  |   0.00591 |
| 30 | FedAVG with Participants=5  |   0.00726 |
| 31 | FedAVG with Participants=6  |   0.00881 |
| 32 | FedAVG with Participants=7  |   0.01024 |
| 33 | FedAVG with Participants=8  |   0.00928 |
| 34 | FedAVG with Participants=9  |   0.01058 |
| 35 | FedAVG with Participants=10 |   0.01115 |
| 36 | FedAVG with Participants=15 |   0.01701 |
| 37 | FedAVG with Participants=20 |   0.02147 |
| 38 | FedAVG with Participants=25 |   0.02798 |
+----+-----------------------------+-----------+

NEW TRIAL
+----+-----------------------------+-----------+
|    | Function                    |   Time(s) |
|----+-----------------------------+-----------|
|  0 | build_gru                   |   1.813   |
|  1 | build_lstm                  |   1.675   |
|  2 | data_processing_mdl_24      |   0.002   |
|  3 | training_LSTM_mdl_24        |  17.481   |
|  4 | training_GRU_mdl_24         |  11.413   |
|  5 | testing_LSTM_mdl_24         |   2.663   |
|  6 | testing_GRU_mdl_24          |   2.324   |
|  7 | data_processing_mdl_36      |   0.002   |
|  8 | training_LSTM_mdl_36        |  14.52    |
|  9 | training_GRU_mdl_36         |   3.683   |
| 10 | testing_LSTM_mdl_36         |   0.21    |
| 11 | testing_GRU_mdl_36          |   0.167   |
| 12 | data_processing_mdl_48      |   0.002   |
| 13 | training_LSTM_mdl_48        |  21.277   |
| 14 | training_GRU_mdl_48         |   5.283   |
| 15 | testing_LSTM_mdl_48         |   0.21    |
| 16 | testing_GRU_mdl_48          |   0.166   |
| 17 | data_processing_mdl_60      |   0.002   |
| 18 | training_LSTM_mdl_60        |  28.111   |
| 19 | training_GRU_mdl_60         |   6.851   |
| 20 | testing_LSTM_mdl_60         |   0.211   |
| 21 | testing_GRU_mdl_60          |   0.168   |
| 22 | data_processing_mdl_72      |   0.003   |
| 23 | training_LSTM_mdl_72        |  34.917   |
| 24 | training_GRU_mdl_72         |   8.519   |
| 25 | testing_LSTM_mdl_72         |   0.212   |
| 26 | testing_GRU_mdl_72          |   0.168   |
| 27 | FedAVG with Participants=2  |   0.00433 |
| 28 | FedAVG with Participants=3  |   0.00499 |
| 29 | FedAVG with Participants=4  |   0.00583 |
| 30 | FedAVG with Participants=5  |   0.00739 |
| 31 | FedAVG with Participants=6  |   0.00872 |
| 32 | FedAVG with Participants=7  |   0.01024 |
| 33 | FedAVG with Participants=8  |   0.00918 |
| 34 | FedAVG with Participants=9  |   0.01046 |
| 35 | FedAVG with Participants=10 |   0.01122 |
| 36 | FedAVG with Participants=15 |   0.01694 |
| 37 | FedAVG with Participants=20 |   0.02133 |
| 38 | FedAVG with Participants=25 |   0.02776 |
+----+-----------------------------+-----------+

NEW TRIAL
+----+-----------------------------+-----------+
|    | Function                    |   Time(s) |
|----+-----------------------------+-----------|
|  0 | build_gru                   |   1.807   |
|  1 | build_lstm                  |   1.677   |
|  2 | data_processing_mdl_24      |   0.002   |
|  3 | training_LSTM_mdl_24        |  17.39    |
|  4 | training_GRU_mdl_24         |  11.336   |
|  5 | testing_LSTM_mdl_24         |   2.651   |
|  6 | testing_GRU_mdl_24          |   2.298   |
|  7 | data_processing_mdl_36      |   0.002   |
|  8 | training_LSTM_mdl_36        |  14.627   |
|  9 | training_GRU_mdl_36         |   3.624   |
| 10 | testing_LSTM_mdl_36         |   0.213   |
| 11 | testing_GRU_mdl_36          |   0.165   |
| 12 | data_processing_mdl_48      |   0.003   |
| 13 | training_LSTM_mdl_48        |  21.559   |
| 14 | training_GRU_mdl_48         |   5.186   |
| 15 | testing_LSTM_mdl_48         |   0.209   |
| 16 | testing_GRU_mdl_48          |   0.167   |
| 17 | data_processing_mdl_60      |   0.002   |
| 18 | training_LSTM_mdl_60        |  28.395   |
| 19 | training_GRU_mdl_60         |   6.798   |
| 20 | testing_LSTM_mdl_60         |   0.213   |
| 21 | testing_GRU_mdl_60          |   0.167   |
| 22 | data_processing_mdl_72      |   0.002   |
| 23 | training_LSTM_mdl_72        |  35.182   |
| 24 | training_GRU_mdl_72         |   8.374   |
| 25 | testing_LSTM_mdl_72         |   0.216   |
| 26 | testing_GRU_mdl_72          |   0.167   |
| 27 | FedAVG with Participants=2  |   0.00434 |
| 28 | FedAVG with Participants=3  |   0.00495 |
| 29 | FedAVG with Participants=4  |   0.00575 |
| 30 | FedAVG with Participants=5  |   0.00734 |
| 31 | FedAVG with Participants=6  |   0.00877 |
| 32 | FedAVG with Participants=7  |   0.01027 |
| 33 | FedAVG with Participants=8  |   0.00949 |
| 34 | FedAVG with Participants=9  |   0.01061 |
| 35 | FedAVG with Participants=10 |   0.01148 |
| 36 | FedAVG with Participants=15 |   0.01715 |
| 37 | FedAVG with Participants=20 |   0.02165 |
| 38 | FedAVG with Participants=25 |   0.02832 |
+----+-----------------------------+-----------+

NEW TRIAL
+----+-----------------------------+-----------+
|    | Function                    |   Time(s) |
|----+-----------------------------+-----------|
|  0 | build_gru                   |   1.824   |
|  1 | build_lstm                  |   1.682   |
|  2 | data_processing_mdl_24      |   0.002   |
|  3 | training_LSTM_mdl_24        |  17.567   |
|  4 | training_GRU_mdl_24         |  11.544   |
|  5 | testing_LSTM_mdl_24         |   2.689   |
|  6 | testing_GRU_mdl_24          |   2.332   |
|  7 | data_processing_mdl_36      |   0.002   |
|  8 | training_LSTM_mdl_36        |  14.688   |
|  9 | training_GRU_mdl_36         |   3.745   |
| 10 | testing_LSTM_mdl_36         |   0.214   |
| 11 | testing_GRU_mdl_36          |   0.169   |
| 12 | data_processing_mdl_48      |   0.002   |
| 13 | training_LSTM_mdl_48        |  21.436   |
| 14 | training_GRU_mdl_48         |   5.372   |
| 15 | testing_LSTM_mdl_48         |   0.216   |
| 16 | testing_GRU_mdl_48          |   0.167   |
| 17 | data_processing_mdl_60      |   0.002   |
| 18 | training_LSTM_mdl_60        |  28.281   |
| 19 | training_GRU_mdl_60         |   6.981   |
| 20 | testing_LSTM_mdl_60         |   0.217   |
| 21 | testing_GRU_mdl_60          |   0.168   |
| 22 | data_processing_mdl_72      |   0.003   |
| 23 | training_LSTM_mdl_72        |  35.077   |
| 24 | training_GRU_mdl_72         |   8.664   |
| 25 | testing_LSTM_mdl_72         |   0.216   |
| 26 | testing_GRU_mdl_72          |   0.169   |
| 27 | FedAVG with Participants=2  |   0.00435 |
| 28 | FedAVG with Participants=3  |   0.00509 |
| 29 | FedAVG with Participants=4  |   0.00584 |
| 30 | FedAVG with Participants=5  |   0.00636 |
| 31 | FedAVG with Participants=6  |   0.00734 |
| 32 | FedAVG with Participants=7  |   0.00813 |
| 33 | FedAVG with Participants=8  |   0.00873 |
| 34 | FedAVG with Participants=9  |   0.00976 |
| 35 | FedAVG with Participants=10 |   0.01145 |
| 36 | FedAVG with Participants=15 |   0.01661 |
| 37 | FedAVG with Participants=20 |   0.02137 |
| 38 | FedAVG with Participants=25 |   0.02788 |
+----+-----------------------------+-----------+

NEW TRIAL
+----+-----------------------------+-----------+
|    | Function                    |   Time(s) |
|----+-----------------------------+-----------|
|  0 | build_gru                   |   1.82    |
|  1 | build_lstm                  |   1.675   |
